management,S_address,L_address,purpose,camera_num,camera_pixel,shoot_info,storage_days,installed_date,phone,latitude,longitude,data_date
서울특별시 강서구청,서울특별시 강서구 우장산로114,서울특별시 강서구 화곡6동 1103-6,차량방범,1,200,360도전방면,30,2015-01,02-2600-1883,37.553146000000005,126.84851599999999,2020-02-13
서울특별시 강서구청,서울특별시 강서구 화곡로 302,서울특별시 강서구 화곡6동 980-16,차량방범,1,200,360도전방면,30,2015-01,02-2600-1883,37.550965000000005,126.849534,2020-02-13
서울특별시 강서구청,서울특별시 강서구 까치산로4길 22,서울특별시 강서구 화곡본동98-99,차량방범,1,200,360도전방면,30,2015-01,02-2600-1883,37.541805,126.844325,2020-02-13
서울특별시 강서구청,서울특별시 강서구 가로공원로지하189,서울특별시 강서구 화곡1동 662-15,차량방범,1,200,360도전방면,30,2015-01,02-2600-1883,37.537234999999995,126.83703799999999,2020-02-13
서울특별시 강서구청,서울특별시 강서구 양천로47가길 39-24,서울특별시 강서구 가양1동 239-6,생활방범,2,200,360도전방면,30,2011-02,02-2600-1883,37.571732,126.839413,2020-02-13
서울특별시 강서구청,서울특별시 강서구 양천로47가길 40,서울특별시 강서구 가양1동 251-6,생활방범,2,200,360도전방면,30,2011-02,02-2600-1883,37.571055,126.840034,2020-02-13
서울특별시 강서구청,서울특별시 강서구 강서로76길 26,서울특별시 강서구 가양1동 146-11,생활방범,2,200,360도전방면,30,2012-04,02-2600-1883,37.569275,126.842996,2020-02-13
서울특별시 강서구청,서울특별시 강서구 강서로76길7,서울특별시 강서구 가양1동151-11,생활방범,1,130,360도전방면,30,2013-12,02-2600-1883,37.569523,126.842044,2020-02-13
서울특별시 강서구청,서울특별시 강서구 강서로532,서울특별시 강서구 가양1동1459,생활방범,1,130,360도전방면,30,2013-12,02-2600-1883,37.572646999999996,126.842276,2020-02-13
서울특별시 강서구청,서울특별시 강서구 강서로532,서울특별시 강서구 가양1동1459,생활방범,2,200,360도전방면,30,2013-12,02-2600-1883,37.573273,126.84463500000001,2020-02-13
서울특별시 강서구청,서울특별시 강서구 허준로23,서울특별시 강서구 가양1동1460,생활방범,1,130,360도전방면,30,2013-12,02-2600-1883,37.571211,126.846535,2020-02-13
서울특별시 강서구청,서울특별시 강서구 양천로 47가길 25-18,서울특별시 강서구 가양1동 246-1,생활방범,2,200,360도전방면,30,2015-09,02-2600-1883,37.571746999999995,126.839119,2020-02-13
서울특별시 강서구청,서울특별시 강서구 양천로 53길 52,서울특별시 강서구 가양동 30-10,생활방범,2,200,360도전방면,30,2015-12,02-2600-1883,37.567221999999994,126.847921,2020-02-13
서울특별시 강서구청,서울특별시 강서구 강서로 76길 24,서울특별시 강서구 가양동 146-58,생활방범,1,200,360도전방면,30,2015-12,02-2600-1883,37.569302,126.84283300000001,2020-02-13
서울특별시 강서구청,서울특별시 강서구 강서로74길 21,서울특별시 강서구 가양1동 130-3,생활방범,3,200,360도전방면,30,2016-05,02-2600-1883,37.567393,126.84236499999999,2020-02-13
서울특별시 강서구청,서울특별시 강서구 방화대로5가길 25,서울특별시 강서구 공항동 1338-1,생활방범,2,200,360도전방면,30,2010-03,02-2600-1883,37.554474,126.815155,2020-02-13
서울특별시 강서구청,서울특별시 강서구 방화대로8길 28,서울특별시 강서구 공항동 1344,생활방범,1,200,360도전방면,30,2010-03,02-2600-1883,37.556152000000004,126.81698600000001,2020-02-13
서울특별시 강서구청,서울특별시 강서구 방화대로6바길 5-14,서울특별시 강서구 공항동 1357,생활방범,1,41,360도전방면,30,2010-03,02-2600-1883,37.555607,126.818855,2020-02-13
서울특별시 강서구청,서울특별시 강서구 방화대로6가길 5,서울특별시 강서구 공항동 1362-13,생활방범,2,200,360도전방면,30,2010-03,02-2600-1883,37.554707,126.81708700000001,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로7길 19,서울특별시 강서구 공항동 22-3,생활방범,1,41,360도전방면,30,2010-03,02-2600-1883,37.562246,126.811874,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로4길 11,서울특별시 강서구 공항동 42-10,생활방범,2,200,360도전방면,30,2010-03,02-2600-1883,37.560505,126.810776,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로2가길 19,서울특별시 강서구 공항동 51-2,생활방범,2,200,360도전방면,30,2010-03,02-2600-1883,37.559925,126.809473,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로8길 56,서울특별시 강서구 공항동 55-135,생활방범,2,200,360도전방면,30,2010-03,02-2600-1883,37.558514,126.81217,2020-02-13
서울특별시 강서구청,서울특별시 강서구 방화대로7다길 13,서울특별시 강서구 공항동 663,생활방범,1,200,360도전방면,30,2010-03,02-2600-1883,37.557493,126.815025,2020-02-13
서울특별시 강서구청,서울특별시 강서구 방화대로5나길 24,서울특별시 강서구 공항동 672-2,생활방범,2,200,360도전방면,30,2010-03,02-2600-1883,37.555974,126.81631399999999,2020-02-13
서울특별시 강서구청,서울특별시 강서구 남부순환로11가길 28,서울특별시 강서구 공항동 677,생활방범,2,200,360도전방면,30,2010-03,02-2600-1883,37.554928000000004,126.813777,2020-02-13
서울특별시 강서구청,서울특별시 강서구 방화대로23길 27,서울특별시 강서구 공항동 2-5,생활방범,1,41,360도전방면,30,2010-03,02-2600-1883,37.564163,126.81509399999999,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로13길 24,서울특별시 강서구 공항동 14-70,생활방범,1,130,360도전방면,30,2011-04,02-2600-1883,37.562016,126.813675,2020-02-13
서울특별시 강서구청,서울특별시 강서구 남부순환로7길 30,서울특별시 강서구 공항동 60-38,생활방범,2,200,360도전방면,30,2012-04,02-2600-1883,37.558514,126.80988799999999,2020-02-13
서울특별시 강서구청,서울특별시 강서구 방화대로5라길 29,서울특별시 강서구 공항동 680-1,생활방범,1,130,360도전방면,30,2012-12,02-2600-1883,37.555805,126.81408300000001,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로7길 19,서울특별시 강서구 공항동 22-170,생활방범,1,130,360도전방면,30,2012-12,02-2600-1883,37.561954,126.812514,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로7가길 29,서울특별시 강서구 공항동 14-258,생활방범,1,130,360도전방면,30,2012-12,02-2600-1883,37.562687,126.814392,2020-02-13
서울특별시 강서구청,서울특별시 강서구 송정로 59,서울특별시 강서구 공항동 52-16,생활방범,2,200,360도전방면,30,2015-12,02-2600-1883,37.560021,126.810033,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로 8가길 2-16,서울특별시 강서구 공항동 40-33,생활방범,1,200,360도전방면,30,2015-12,02-2600-1883,37.558659000000006,126.81285600000001,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로10가길 4,서울특별시 강서구 공항동 34-71,생활방범,1,200,360도전방면,30,2015-12,02-2600-1883,37.560459,126.812926,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로 3길 11,서울특별시 강서구 공항동 45-88,생활방범,1,200,360도전방면,30,2015-12,02-2600-1883,37.562063,126.809997,2020-02-13
서울특별시 강서구청,서울특별시 강서구 방화대로21길 69,서울특별시 강서구 공항동 18-30,생활방범,2,200,360도전방면,30,2016-05,02-2600-1883,37.563762,126.81271799999999,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로8가길 36,서울특별시 강서구 공항동 651-6,생활방범,2,200,360도전방면,30,2016-05,02-2600-1883,37.558665999999995,126.813971,2020-02-13
서울특별시 강서구청,서울특별시 강서구 화곡로68길 136-12,서울특별시 강서구 등촌1동 636-9,생활방범,2,200,360도전방면,30,2011-02,02-2600-1883,37.556003999999994,126.86071899999999,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로53나길 5,서울특별시 강서구 등촌1동 643-70,생활방범,2,200,360도전방면,30,2011-02,02-2600-1883,37.554707,126.85976399999998,2020-02-13
서울특별시 강서구청,서울특별시 강서구 화곡로66길 192,서울특별시 강서구 등촌1동 646-1,생활방범,2,200,360도전방면,30,2011-02,02-2600-1883,37.553846,126.863054,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로51길 17-22,서울특별시 강서구 등촌1동 654-4,생활방범,2,200,360도전방면,30,2011-02,02-2600-1883,37.555792,126.85676699999999,2020-02-13
서울특별시 강서구청,서울특별시 강서구 양천로60길 43,서울특별시 강서구 등촌1동 637-12,생활방범,1,130,360도전방면,30,2011-04,02-2600-1883,37.556988,126.85848600000001,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로59나길 14,서울특별시 강서구 등촌1동 647-32,생활방범,2,300,360도전방면,30,2011-04,02-2600-1883,37.552658,126.864494,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로45나길 32,서울특별시 강서구 등촌1동 654-42,생활방범,1,130,360도전방면,30,2012-04,02-2600-1883,37.55581,126.855896,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로53가길 36,서울특별시 강서구 등촌1동 653-8,생활방범,2,200,360도전방면,30,2012-12,02-2600-1883,37.55493,126.858783,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로45길 33,서울특별시 강서구 등촌1동 656-37,생활방범,2,200,360도전방면,30,2012-12,02-2600-1883,37.556777000000004,126.854982,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로59길50,서울특별시 강서구 등촌1동 635-1(도림공원앞),생활방범,1,130,360도전방면,30,2013-12,02-2600-1883,37.55572,126.86265,2020-02-13
서울특별시 강서구청,서울특별시 강서구 화곡로66길145-15,서울특별시 강서구 등촌1동 636-30,생활방범,1,130,360도전방면,30,2013-12,02-2600-1883,37.555456,126.861571,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로49길12-4,서울특별시 강서구 등촌1동 654-53,생활방범,1,130,360도전방면,30,2013-12,02-2600-1883,37.555195,126.856569,2020-02-13
서울특별시 강서구청,서울특별시 강서구 등촌로39가길 27,서울특별시 강서구 등촌2동 514-43,생활방범,1,130,360도전방면,30,2013-12,02-2600-1883,37.545232,126.85911599999999,2020-02-13
서울특별시 강서구청,서울특별시 강서구 공항대로59길 32,서울특별시 강서구 등촌1동 647-24,생활방범,1,200,360도전방면,30,2016-05,02-2600-1883,37.553022,126.86383000000001,2020-02-13
