,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
0,관악구청,서울특별시 관악구 쑥고개로2라길 (쑥고개어린이공원),,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47589054,126.94068590000002,2019/10/31
1,관악구청,서울특별시 관악구 쑥고개로2라길 (쑥고개어린이공원),,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47599585,126.94103759999999,2019/10/31
2,관악구청,서울특별시 관악구 관악로6길 50 백설어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47587787,126.95358529999999,2019/10/31
3,관악구청,서울특별시 관악구 관악로6길 50 백설어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47614016,126.95374960000001,2019/10/31
4,관악구청,서울특별시 관악구 신림로31가길 신화어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47697373,126.9355708,2019/10/31
5,관악구청,서울특별시 관악구 남부순환로200다길 23 봉림어린이공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.48272379,126.93563,2019/10/31
6,관악구청,서울특별시 관악구 낙성대역8길 28 약수어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47404095,126.96218459999999,2019/10/31
7,관악구청,서울특별시 관악구 서림3길 47 해태어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47250207,126.94046540000001,2019/10/31
8,관악구청,서울특별시 관악구 서림3길 47 해태어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47268706,126.940696,2019/10/31
9,관악구청,서울특별시 관악구 광신길 154 합실어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.46508382,126.92686570000001,2019/10/31
10,관악구청,서울특별시 관악구 광신길 154 합실어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.465027299999996,126.9272175,2019/10/31
11,관악구청,서울특별시 관악구 난우10가길 14-7 미성동공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47624854,126.91948390000002,2019/10/31
12,관악구청,서울특별시 관악구 난우10가길 14-7 미성동공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47641056,126.91992379999999,2019/10/31
13,관악구청,서울특별시 관악구 신림로70길 74 색동공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.48645833,126.9329445,2019/10/31
14,관악구청,서울특별시 관악구 승방3나길14 와 승방3가길 10 상록공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.472987100000005,126.98021969999999,2019/10/31
15,관악구청,서울특별시 관악구 승방3나길14 와 승방3가길 10 상록공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47286864,126.9803893,2019/10/31
16,관악구청,서울특별시 관악구 양녕로6다길 11-4 새싹공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.48438305,126.9497668,2019/10/31
17,관악구청,서울특별시 관악구 양녕로6다길 11-4 새싹공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.48457844,126.94953899999999,2019/10/31
18,관악구청,서울특별시 관악구 인헌3가길 8 밤골공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47395933,126.9673659,2019/10/31
19,관악구청,서울특별시 관악구 청룡12길 17-4 청룡공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47777622,126.94477409999999,2019/10/31
20,관악구청,서울특별시 관악구 법원단지길 158-11 보명공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47575066,126.9257524,2019/10/31
21,관악구청,서울특별시 관악구 법원단지길 158-11 보명공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,10-May,02-879-5831,37.47545839,126.9256939,2019/10/31
22,관악구청,서울특별시 관악구 국회단지19길 23 국지어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Jan,02-879-5831,37.48995297,126.9405815,2019/10/31
23,관악구청,서울특별시 관악구 국회단지19길 23 국지어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Jan,02-879-5831,37.49009773,126.94044679999999,2019/10/31
24,관악구청,서울특별시 관악구 남부순환로246라길 3 원당어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Jan,02-879-5831,37.47464617,126.9637102,2019/10/31
25,관악구청,서울특별시 관악구 남부순환로246라길 3 원당어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Jan,02-879-5831,37.47482758,126.96342340000001,2019/10/31
26,관악구청,서울특별시 관악구 남현길 41 예촌어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Jan,02-879-5831,37.47474442,126.9768983,2019/10/31
27,관악구청,서울특별시 관악구 남현길 41 예촌어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Jan,02-879-5831,37.47446087,126.9765527,2019/10/31
28,관악구청,서울특별시 관악구 남현길 41 예촌어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Feb,02-879-5831,37.46921408,126.9646514,2019/10/31
29,관악구청,서울특별시 관악구 관천로22길 63 새들어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Feb,02-879-5831,37.48860748,126.925629,2019/10/31
30,관악구청,서울특별시 관악구 관천로22길 63 새들어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Feb,02-879-5831,37.48864772,126.9259222,2019/10/31
31,관악구청,서울특별시 관악구 낙성대역14가길 3 교체어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Nov,02-879-5831,37.47348909,126.96413429999998,2019/10/31
32,관악구청,서울특별시 관악구 낙성대역8길 50-8 탑골공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Nov,02-879-5831,37.47447325,126.96117279999999,2019/10/31
33,관악구청,서울특별시 관악구 남부순환로163가길 20 남부어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Nov,02-879-5831,37.48483226,126.9207072,2019/10/31
34,관악구청,서울특별시 관악구 남부순환로163가길 20 남부어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Nov,02-879-5831,37.48507241,126.9204881,2019/10/31
35,관악구청,서울특별시 관악구 난곡로26길 69 무궁화공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Nov,02-879-5831,37.4696018,126.9236499,2019/10/31
36,관악구청,서울특별시 관악구 관악로15길 21 송학어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Dec,02-879-5831,37.48046347,126.9491287,2019/10/31
37,관악구청,서울특별시 관악구 장군봉 7길 15-4 비안어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Dec,02-879-5831,37.48063484,126.94017120000001,2019/10/31
38,관악구청,서울특별시 관악구 서원3길 10 서원어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,11-Dec,02-879-5831,37.47661508,126.93329969999999,2019/10/31
39,관악구청,서울특별시 관악구 청룡동 556-91 청룡산공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,12-Feb,02-879-5831,37.47727121,126.9493785,2019/10/31
40,관악구청,서울특별시 관악구 청룡동 556-91 청룡산공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,12-Feb,02-879-5831,37.47695176,126.9493817,2019/10/31
41,관악구청,서울특별시 관악구 행운4길 2 까치어린이공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-May,02-879-5831,37.47984474,126.9593811,2019/10/31
42,관악구청,서울특별시 관악구 행운4길 2 까치어린이공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-May,02-879-5831,37.4798474,126.9598386,2019/10/31
43,관악구청,서울특별시 관악구 미성8길 3-20 신라창의어린이공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Aug,02-879-5831,37.47351263,126.91267309999999,2019/10/31
44,관악구청,서울특별시 관악구 봉천로21길 67 국사봉어린이공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Aug,02-879-5831,37.48996775,126.9342732,2019/10/31
45,관악구청,서울특별시 관악구 국회단지10길 22 은천어린이공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Aug,02-879-5831,37.48838569,126.94295859999998,2019/10/31
46,관악구청,서울특별시 관악구 난곡로43길 25 한라어린이공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Aug,02-879-5831,37.47566349,126.91483999999998,2019/10/31
47,관악구청,서울특별시 관악구 관악산공원 돌산화장실앞,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.4666724,126.9470937,2019/10/31
48,관악구청,서울특별시 관악구 관악산공원 호수공원 01,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.45853189,126.946999,2019/10/31
49,관악구청,서울특별시 관악구 관악산공원 호수공원 02,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.45887888,126.947301,2019/10/31
50,관악구청,서울특별시 관악구 대학동 208 맨발공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.46685449,126.9443101,2019/10/31
51,관악구청,서울특별시 관악구 대학길 129 샘말공원01,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.46499971,126.93847199999999,2019/10/31
52,관악구청,서울특별시 관악구 대학길 129 샘말공원02,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.46455265,126.93809809999999,2019/10/31
53,관악구청,서울특별시 관악구 난곡로11길 40 난곡공원01,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.46569065,126.9171947,2019/10/31
54,관악구청,서울특별시 관악구 난곡로11길 40 난곡공원02,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.46595976,126.91723,2019/10/31
55,관악구청,서울특별시 관악구 법원단지5나길 76 난우공원01,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.47739069,126.92271799999999,2019/10/31
56,관악구청,서울특별시 관악구 법원단지5나길 76 난우공원02,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.47771547,126.9221625,2019/10/31
57,관악구청,서울특별시 관악구 미성동 산 117-3 선우공원01,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.46879472,126.9130441,2019/10/31
58,관악구청,서울특별시 관악구 미성동 산 117-3 선우공원01,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.46663318,126.91405309999999,2019/10/31
59,관악구청,서울특별시 관악구 난곡로26길 135 신림6배수지공원01,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.46823737,126.9264493,2019/10/31
60,관악구청,서울특별시 관악구 난곡로26길 135 신림6배수지공원02,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.46833633,126.92591329999999,2019/10/31
61,관악구청,서울특별시 관악구 인헌길 169-21 봉천11배수지공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.46909557,126.96996299999999,2019/10/31
62,관악구청,서울특별시 관악구 삼성동 1713-6 배수지공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.46331438,126.9272212,2019/10/31
63,관악구청,서울특별시 관악구 보라매동 산104-9 상도근린공원01,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.48890915,126.9381012,2019/10/31
64,관악구청,서울특별시 관악구 보라매동 산104-9 상도근린공원02,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.48935129,126.9379689,2019/10/31
65,관악구청,서울특별시 관악구 보라매동 산104-9 상도근린공원03,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.48929225,126.93834299999999,2019/10/31
66,관악구청,서울특별시 관악구 봉천로41길 35 중앙공원01,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.48438675,126.94847490000001,2019/10/31
67,관악구청,서울특별시 관악구 봉천로41길 35 중앙공원02,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Jan,02-879-5831,37.48430156,126.94818659999999,2019/10/31
68,관악구청,서울특별시 관악구 대학동 210 관악산공원 주차장1,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,12-Nov,02-879-5831,37.46831654,126.9456034,2019/10/31
69,관악구청,서울특별시 관악구 대학동 210 관악산공원 주차장1,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,12-Nov,02-879-5831,37.46824624,126.945476,2019/10/31
70,관악구청,서울특별시 관악구 대학동 210 관악산공원 피크닉숲,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,12-Nov,02-879-5831,37.46185796,126.9479584,2019/10/31
71,관악구청,서울특별시 관악구 대학동 210 관악산공원 야외식물원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,12-Nov,02-879-5831,37.4609092,126.94819960000001,2019/10/31
72,관악구청,서울특별시 관악구 대학동 210 관악산공원 제1야영장,,다목적,2,200,반경 30~150미터 이내(기종따라 다름),30,12-Nov,02-879-5831,37.45796926,126.94641329999999,2019/10/31
73,관악구청,서울특별시 관악구 대학동 210 관악산공원 제2야영장,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,12-Nov,02-879-5831,37.45560656,126.9453963,2019/10/31
74,관악구청,서울특별시 관악구 청룡동 산151-139 장군봉근린공원1(메인),,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,12-Nov,02-879-5831,37.47969721,126.93720320000001,2019/10/31
75,관악구청,서울특별시 관악구 청룡동 산151-139 장군봉근린공원2(서브),,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,12-Nov,02-879-5831,37.47983361,126.93636969999999,2019/10/31
76,관악구청,서울특별시 관악구 청룡동 산151-139 장군봉근린공원3(서브),,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,12-Nov,02-879-5831,37.48048489,126.93686329999998,2019/10/31
77,관악구청,서울특별시 관악구 양산길 21-2 양산어린이공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,12-Nov,02-879-5831,37.47369949,126.93265829999999,2019/10/31
78,관악구청,서울특별시 관악구 승방1길 79 군아파트어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,13-Jan,02-879-5831,37.47177181,126.97905359999999,2019/10/31
79,관악구청,서울특별시 관악구 봉천로33가길 19-10 한뼘동래공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,13-Jan,02-879-5831,37.48472219,126.9448623,2019/10/31
