management,S_address,L_address,purpose,camera_num,camera_pixel,shoot_info,storage_days,installed_date,phone,latitude,longitude,data_date,station
서울특별시 구로구청,서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,3,200,,30,2009-01,02-860-3437,37.5065824166,126.85327825729999,2020-04-27,서울구로경찰서
서울특별시 구로구청,서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,2,200,,30,2009-01,02-860-3437,37.5065824166,126.85327825729999,2020-04-27,서울구로경찰서
서울특별시 구로구청,서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,3,200,,30,2009-01,02-860-3437,37.5065824166,126.85327825729999,2020-04-27,서울구로경찰서
서울특별시 구로구청,서울특별시 구로구 개봉로3가길 88-9,서울특별시 구로구 개봉동 312-25,생활방범,4,200,,30,2009-01,02-860-3437,37.482938187600006,126.8518139725,2020-04-27,서울구로경찰서
서울특별시 구로구청,서울특별시 구로구 구일로 68,서울특별시 구로구 구로동 685-221,생활방범,3,200,,30,2010-01,02-860-3437,37.4931916033,126.8734732749,2020-04-27,서울구로경찰서
서울특별시 구로구청,서울특별시 구로구 구일로 62,서울특별시 구로구 구로동 685-219,생활방범,4,200,,30,2010-01,02-860-3437,37.4917761694,126.8743621874,2020-04-27,서울구로경찰서
서울특별시 구로구청,서울특별시 구로구 구로중앙로27가길 23,서울특별시 구로구 구로동 513-34,생활방범,3,200,,30,2010-01,02-860-3437,37.4977202471,126.8860498578,2020-04-27,서울구로경찰서
서울특별시 구로구청,서울특별시 구로구 구로중앙로27나길 18,서울특별시 구로구 구로동 511-25,생활방범,3,200,,30,2010-01,02-860-3437,37.496846960700005,126.884902243,2020-04-27,서울구로경찰서
서울특별시 구로구청,서울특별시 구로구 가마산로26길 34,서울특별시 구로구 구로동 90 - 1,생활방범,5,41,,30,2010-01,02-860-3437,37.4947773652,126.89158628540001,2020-04-27,서울구로경찰서
서울특별시 구로구청,서울특별시 구로구 가마산로27길 69,서울특별시 구로구 구로동 105,생활방범,3,200,,30,2010-01,02-860-3437,37.499659133200005,126.88976527950001,2020-04-27,서울구로경찰서
서울특별시 구로구청,서울특별시 구로구 구로동로7나길 32,서울특별시 구로구 가리봉동 10-7,생활방범,3,200,,30,2010-01,02-860-3437,37.4853050818,126.88308825989999,2020-04-27,서울구로경찰서
서울특별시 구로구청,서울특별시 구로구 구로동로7나길 15,서울특별시 구로구 가리봉동 13-21,생활방범,3,200,,30,2010-01,02-860-3437,37.4859722064,126.88347165290001,2020-04-27,서울구로경찰서
