management,S_address,L_address,purpose,camera_num,camera_pixel,shoot_info,storage_days,installed_date,phone,latitude,longitude,data_date,station
서울특별시 중구청,서울특별시 중구 남대문로 118 (남대문로1가 ),서울특별시 중구 남대문로1가 19,시설물관리,1,130,고정형,30,2012-12,02-3396-4744,37.5676989,126.983148,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 남대문로 118 (남대문로1가 ),서울특별시 중구 남대문로1가 19,시설물관리,1,200,고정형,30,2012-12,02-3396-4744,37.5676989,126.983148,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 남대문로 39 (남대문로3가),서울특별시 중구 남대문로3가 110,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.56251583,126.9797219,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 남대문로 39,서울특별시 중구 남대문로3가 110,생활방범,3,200,고정형,30,2019-05,02-3396-4744,37.56251583,126.9797219,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 남대문로 39,서울특별시 중구 남대문로3가 110,생활방범,2,200,고정형,30,2019-05,02-3396-4744,37.56251583,126.9797219,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 남대문로 12 (남대문로4가),서울특별시 중구 남대문로4가 18,생활방범,1,200,회전형,30,2013-02,02-3396-4744,37.56056201,126.9772144,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로 24 (남대문로5가),서울특별시 중구 남대문로5가 267-4,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.556619,126.9759616,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 세종대로2길 7 (남대문로5가),서울특별시 중구 남대문로5가 12-16,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.557562,126.973986,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 세종대로 30 (남대문로5가),서울특별시 중구 남대문로5가 21-1,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.55900823,126.9749196,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 세종대로 12 (남대문로5가),서울특별시 중구 남대문로5가 12-8,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.557841,126.973515,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 소월로2길 30,서울특별시 중구 남대문로5가 827,생활방범,4,200,회전형,30,2018-10,02-3396-4744,37.55399522,126.9756139,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 후암로 60길 17,서울특별시 중구 남대문로5가 542,생활방범,3,200,회전형,30,2016-12,02-3396-4744,37.554795,126.9741786,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 남대문로5가 9-2,서울특별시 중구 세종대로 지하 2,생활방범,3,200,회전형,30,2018-07,02-3396-4744,37.557375,126.971766,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 남대문로5가 9-2,서울특별시 중구 세종대로 지하 2,생활방범,3,200,회전형,30,2018-07,02-3396-4744,37.557546,126.972037,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 후암로 58길 13,서울특별시 중구 남대문로5가 622,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.55437343,126.9745952,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 후암로 60길 23,서울특별시 중구 남대문로5가 548,생활방범,1,200,회전형,30,2015-12,02-3396-4744,37.55492118,126.9743687,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로20나길 15 (남산동2가),서울특별시 중구 남산동2가 27-2,생활방범,1,200,회전형,30,2015-12,02-3396-4744,37.55848022,126.9855404,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 소공로6길 25 (남산동1가),서울특별시 중구 남산동1가 15,생활방범,1,200,회전형,30,2015-12,02-3396-4744,37.55861343,126.9844855,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로18길 5 (남산동2가),서울특별시 중구 남산동2가 6-1,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.56038315,126.9857754,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 소공로6가길 13 (남산동1가),서울특별시 중구 남산동1가 21-4,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.55791422,126.9841688,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로20길 56,서울특별시 중구 남산동2가 26-8,생활방범,3,200,회전형,30,2016-12,02-3396-4744,37.557673,126.9861924,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로22길 17 (남산동2가),서울특별시 중구 남산동2가 2,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.55978501,126.9867761,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로18길 70 (남산동1가),서울특별시 중구 남산동1가 21-1,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.55792144,126.9843318,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로20길 19 (남산동2가),서울특별시 중구 남산동2가 15-10,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.55937766,126.9859477,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로16길 21 (남산동1가),서울특별시 중구 남산동1가 8-1,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.55985685,126.9847841,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로20가길 16 (남산동2가),서울특별시 중구 남산동2가 15-1,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.55947142,126.9864139,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로20가길 16,서울특별시 중구 남산동2가 15-1,생활방범,1,200,고정형,30,2017-11,02-3396-4744,37.55947142,126.9864139,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로20길26-1,서울특별시 중구 남산동2가29-6,생활방범,4,200,회전형,30,2015-12,02-3396-4744,37.55901725,126.9858572,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 소파로 141,서울특별시 중구 남산동3가 30-7,어린이보호,4,200,회전형,30,2016-12,02-3396-4744,37.55975628,126.98775390000002,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로20나길42,서울특별시 중구 남산동2가 49-14,생활방범,3,200,회전형,30,2016-12,02-3396-4744,37.55734492,126.9852011,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로 20길 41-6,서울특별시 중구 남산동2가19-2,생활방범,3,200,회전형,30,2016-12,02-3396-4744,37.55849476,126.9866359,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로22길 17,서울특별시 중구 남산동2가 2,시설물관리,16,200,고정형,30,2017-01,02-3396-4744,37.55978501,126.9867761,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로20나길 36-2 (남산동2가),서울특별시 중구 남산동2가 49-10,쓰레기단속,1,200,고정형,30,2017-09,02-3396-4744,37.55752871,126.9851014,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로24길 14,서울특별시 중구 남산동3가 18-2,쓰레기단속,1,200,고정형,30,2017-09,02-3396-4744,37.56032926,126.9872377,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로20길 25-26,서울특별시 중구 남산동2가 18-5,쓰레기단속,1,200,고정형,30,2017-09,02-3396-4744,37.55898127,126.9863506,2020-06-25,서울남대문경찰서
서울특별시 중구청,서울특별시 중구 퇴계로 132 (남산동3가),서울특별시 중구 남산동3가 13-31,교통단속,2,200,회전형,30,2019-07,02-3396-4744,37.56075084,126.986468,2020-06-25,서울남대문경찰서
