∞¸∏Æ±‚∞¸∏Ì,º“¿Á¡ˆµµ∑Œ∏Ì¡÷º“,º“¿Á¡ˆ¡ˆπ¯¡÷º“,º≥ƒ°∏Ò¿˚±∏∫–,ƒ´∏ﬁ∂Û¥Îºˆ,ƒ´∏ﬁ∂Û»≠º“ºˆ,√‘øµπÊ∏È¡§∫∏,∫∏∞¸¿œºˆ,º≥ƒ°≥‚ø˘,∞¸∏Æ±‚∞¸¿¸»≠π¯»£,¿ßµµ,∞Êµµ,µ•¿Ã≈Õ±‚¡ÿ¿œ¿⁄
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Ûµø 35,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 268-4,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-06,02-2127-4091,37.5681008,127.056913,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ √µ»£¥Î∑Œ69≥™±Ê 23,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 294-129,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-06,02-2127-4091,37.5691114,127.053758,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ √µ»£¥Î∑Œ 281,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 495-3,ª˝»∞πÊπ¸,3,200,,,Jan-06,02-2127-4091,37.566899,127.052903,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ªÁ∞°¡§∑Œ2±Ê 9,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 714,ª˝»∞πÊπ¸,3,200,,,Jan-07,02-2127-4091,37.5713516,127.050902,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ38±Ê 25,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 470-3,ª˝»∞πÊπ¸,3,200,,,Jan-07,02-2127-4091,37.5733388,127.049876,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ40±Ê 5,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 467-69,ª˝»∞πÊπ¸,3,200,,,Jan-08,02-2127-4091,37.5721494,127.049883,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ªÁ∞°¡§∑Œ2±Ê 24,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 482-102,ª˝»∞πÊπ¸,3,200,,,Jan-08,02-2127-4091,37.5708131,127.051413,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ »≤π∞∑Œ 133-1,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 485-73,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-08,02-2127-4091,37.56764822,127.0537435,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Û∑Œ5±Ê 10,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 253-23,ª˝»∞πÊπ¸,3,200,,,Jan-09,02-2127-4091,37.57093455,127.0567399,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ »≤π∞∑Œ 90,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 530-4,ª˝»∞πÊπ¸,3,200,,,Jan-09,02-2127-4091,37.5704646,127.049755,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ªÁ∞°¡§∑Œ2±Ê 121,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 486-16,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-09,02-2127-4091,37.5678582,127.055523,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Û∑Œ3±Ê 38,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 269-10,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-10,02-2127-4091,37.5694459,127.056065,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 544-3,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-10,02-2127-4091,37.5743727,127.04399,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ªÁ∞°¡§∑Œ2±Ê 59,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 320-20,ª˝»∞πÊπ¸,3,200,,,Oct-16,02-2127-4091,37.569848,127.053101,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Û∑Œ 79-30,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 248-14,ª˝»∞πÊπ¸,3,200,,,Jan-10,02-2127-4091,37.5719934,127.056174,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Û∑Œ 75,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 250-13,ª˝»∞πÊπ¸,3,200,,,Jan-10,02-2127-4091,37.5714906,127.057193,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ »≤π∞∑Œ 111,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 483-26,ª˝»∞πÊπ¸,3,200,,,Jan-10,02-2127-4091,37.56904741,127.0518519,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ √µ»£¥Î∑Œ75±Ê 38,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 490-81,ª˝»∞πÊπ¸,3,200,,,Jan-10,02-2127-4091,37.5672974,127.055378,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ∞ÌπÃº˙∑Œ 43,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 530-10,ª˝»∞πÊπ¸,3,200,,,Jan-10,02-2127-4091,37.5678303,127.052492,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Û∑Œ 105-1,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 99-22,ª˝»∞πÊπ¸,3,200,,,Jan-10,02-2127-4091,37.5744863,127.057455,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Û∑Œ 53-5,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 260,ª˝»∞πÊπ¸,3,200,,,Nov-11,02-2127-4091,37.5696446,127.056672,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ º≠øÔΩ√∏≥¥Î∑Œ4±Ê 70,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 470-1,ª˝»∞πÊπ¸,3,200,,,Nov-11,02-2127-4091,37.5731584,127.050144,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ »≤π∞∑Œ 65-13,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 469-13,ª˝»∞πÊπ¸,3,200,,,Nov-11,02-2127-4091,37.5727062,127.048893,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ √µ»£¥Î∑Œ 177,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 463-13,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-12,02-2127-4091,37.5734361,127.042922,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ªÁ∞°¡§∑Œ 30,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 477-9,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-12,02-2127-4091,37.5719868,127.050978,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ »≤π∞∑Œ 32,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 557-1,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-12,02-2127-4091,37.5738766,127.045611,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 645-7,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-12,02-2127-4091,37.575483,127.044517,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ∞ÌπÃº˙∑Œ 21,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 530-6,ª˝»∞πÊπ¸,3,200,,,Jul-12,02-2127-4091,37.5691419,127.050897,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 225-23,æÓ∏∞¿Ã∫∏»£,3,200,,,Dec-13,02-2127-4091,37.573661,127.053929,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ34±Ê 6-10,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 472-2,ª˝»∞πÊπ¸,3,200,,,Feb-15,02-2127-4091,37.5742333,127.049239,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ »≤π∞∑Œ3±Ê 15,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 323-18,ª˝»∞πÊπ¸,3,200,,,Feb-15,02-2127-4091,37.5695761,127.052225,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ26±Ê 13,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Ûµø 648-80,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-16,02-2127-4091,37.574611,127.048843,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Û∑Œ3±Ê 23,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ1µø 274,æÓ∏∞¿Ã∫∏»£,2,200,,,Jan-16,02-2127-4091,37.568772,127.056026,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ »≤π∞∑Œ 150,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 530-14,ª˝»∞πÊπ¸,4,200,,,Oct-16,02-2127-4091,37.566448,127.054636,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ √µ»£¥Î∑Œ65±Ê17,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 465-7,ª˝»∞πÊπ¸,3,200,,,Dec-17,02-2127-4091,37.570941,127.049219,2020/04/01
