management,S_address,L_address,purpose,camera_num,camera_pixel,shoot_info,storage_days,installed_date,phone,latitude,longitude,data_date,station
서울특별시 은평구청,없음,녹번동 100-85,기타,1,200,360도 전방면,30,2019-09,02-351-8007,37.604202,126.926985,2020-01-01,서울서부경찰서
서울특별시 은평구청,없음,녹번동 104-7,기타,2,200,360도 전방면,30,2014-12,02-351-8007,37.606104,126.92747,2020-01-01,서울서부경찰서
서울특별시 은평구청,없음,녹번동 153-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.605135,126.923609,2020-01-01,서울서부경찰서
서울특별시 은평구청,없음,녹번동 153-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.605613,126.923128,2020-01-01,서울서부경찰서
서울특별시 은평구청,없음,녹번동 153-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.60502,126.923026,2020-01-01,서울서부경찰서
서울특별시 은평구청,은평로13길 35,녹번동 158-1,기타,1,200,360도 전방면,30,2019-05,02-351-8007,37.603962,126.923765,2020-01-01,서울서부경찰서
서울특별시 은평구청,은평로13길 35,녹번동 158-1,기타,1,200,360도 전방면,30,2019-05,02-351-8007,37.603996,126.923585,2020-01-01,서울서부경찰서
서울특별시 은평구청,은평로13길 35,녹번동 158-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.603996,126.923585,2020-01-01,서울서부경찰서
서울특별시 은평구청,없음,녹번동 85-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.603986,126.927514,2020-01-01,서울서부경찰서
서울특별시 은평구청,없음,녹번동 85-1,기타,1,200,180도,30,2016-11,02-351-8007,37.603565,126.927064,2020-01-01,서울서부경찰서
서울특별시 은평구청,없음,녹번동 85-1,기타,2,200,360도 전방면,30,2013-12,02-351-8007,37.603919,126.927553,2020-01-01,서울서부경찰서
서울특별시 은평구청,없음,녹번동 85-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.603919,126.927553,2020-01-01,서울서부경찰서
서울특별시 은평구청,없음,녹번동 95-44,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.605498,126.930985,2020-01-01,서울서부경찰서
서울특별시 은평구청,은평로21길 14-26,녹번동 산28-6,기타,1,200,180도,30,2015-12,02-351-8007,37.602944,126.932403,2020-01-01,서울서부경찰서
서울특별시 은평구청,서오릉로 64-5,녹번동 144-45,생활방범,1,200,360도 전방면,30,2013-12,02-351-6383,37.606393,126.923454,2020-01-01,서울서부경찰서
서울특별시 은평구청,녹번로4길 6-1,녹번동 94-16,생활방범,1,200,360도 전방면,30,2013-12,02-351-6383,37.605271,126.93044,2020-01-01,서울서부경찰서
서울특별시 은평구청,녹번로9길 18,녹번동 118-50,다목적,3,200,360도 전방면,30,2018-12,02-351-6383,37.607682,126.92967,2020-01-01,서울서부경찰서
서울특별시 은평구청,서오릉로4길 27,녹번동 151-64,다목적,5,200,360도 전방면,30,2008-12,02-351-6383,37.606272,126.926351,2020-01-01,서울서부경찰서
서울특별시 은평구청,통일로59길 13,녹번동 29-49,다목적,4,200,360도 전방면,30,2008-12,02-351-6383,37.605137,126.932695,2020-01-01,서울서부경찰서
서울특별시 은평구청,통일로 639-9,녹번동 35-20,생활방범,1,200,360도 전방면,30,2013-12,02-351-6383,37.603696,126.933866,2020-01-01,서울서부경찰서
서울특별시 은평구청,녹번로1길 25,녹번동 103-18,생활방범,4,200,360도 전방면,30,2019-11,02-351-6383,37.605489,126.927221,2020-01-01,서울서부경찰서
서울특별시 은평구청,서오릉로4길 18-1,녹번동 168-2,생활방범,5,200,360도 전방면,30,2009-12,02-351-6383,37.605584,126.926024,2020-01-01,서울서부경찰서
서울특별시 은평구청,서오릉로 48-9,녹번동 152-76,생활방범,4,200,360도 전방면,30,2014-12,02-351-6383,37.605547,126.924695,2020-01-01,서울서부경찰서
서울특별시 은평구청,녹번로1길 1,녹번동 174,다목적,1,200,360도 전방면,30,2019-11,02-351-6383,37.604493,126.926746,2020-01-01,서울서부경찰서
서울특별시 은평구청,통일로57길 7,녹번동 31-11,다목적,5,200,360도 전방면,30,2009-12,02-351-6383,37.60469,126.9339,2020-01-01,서울서부경찰서
서울특별시 은평구청,은평로21길 3,녹번동 45-7,어린이보호,4,200,360도 전방면,30,2009-12,02-351-6383,37.60129,126.933849,2020-01-01,서울서부경찰서
서울특별시 은평구청,은평로21길 24,녹번동 76-22,생활방범,4,200,360도 전방면,30,2019-11,02-351-6383,37.602195,126.931767,2020-01-01,서울서부경찰서
서울특별시 은평구청,녹번로4길 13,녹번동 86-94,생활방범,4,200,360도 전방면,30,2019-11,02-351-6383,37.604632,126.930796,2020-01-01,서울서부경찰서
서울특별시 은평구청,진흥로16길 9,녹번동 1-51,생활방범,1,200,360도 전방면,30,2010-12,02-351-6383,37.6097,126.9392,2020-01-01,서울서부경찰서
