management,S_address,L_address,purpose,camera_num,camera_pixel,shoot_info,storage_days,installed_date,phone,latitude,longitude,data_date,station
서울특별시 성북구청,서울특별시 성북구 화랑로18길 37,서울특별시 성북구 상월곡동 24-151,생활방범,3,130,360,30,2007-12,02-2241-4562,37.6058489,127.049716,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로1길 39-8,서울특별시 성북구 상월곡동 55-82,생활방범,5,200,360,30,2011-12,02-2241-4562,37.60658669,127.0467782,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로1가길 9,서울특별시 성북구 상월곡동 86-1,생활방범,3,200,360,30,2011-12,02-2241-4562,37.60616215,127.044376,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로1길 80,서울특별시 성북구 상월곡동 71-1,생활방범,3,200,360,30,2010-12,02-2241-4562,37.60532589,127.0441404,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로13길 60,서울특별시 성북구 상월곡동 86-5,생활방범,3,130,360,30,2012-12,02-2241-4562,37.60706517,127.0442927,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로18길 13,서울특별시 성북구 상월곡동 26-23,생활방범,3,200,360,30,2013-12,02-2241-4562,37.60529069,127.0515197,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로18자길 13,서울특별시 성북구 상월곡동 24-348,생활방범,2,200,360,30,2014-12,02-2241-4562,37.60476841,127.0502903,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로1마길 34,서울특별시 성북구 상월곡동 75-54,생활방범,3,200,360,30,2015-12,02-2241-4562,37.60565378,127.0429756,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로1라길 3,서울특별시 성북구 상월곡동 75-37,생활방범,4,200,360,30,2016-12,02-2241-4562,37.6051714,127.0436816,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로1마길 36,서울특별시 성북구 상월곡동 78-2,생활방범,3,200,360,30,2016-12,02-2241-4562,37.60591917,127.0429132,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로1마길 46-1,서울특별시 성북구 상월곡동 85-27,생활방범,3,200,360,30,2017-12,02-2241-4562,37.60643947,127.0429871,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로18길 24,서울특별시 성북구 상월곡동 26-3,생활방범,4,200,360,30,2017-12,02-2241-4562,37.60608121,127.0490542,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로18길 25-25(,서울특별시 성북구 상월곡동 24-261,생활방범,4,200,360,30,2017-12,02-2241-4562,37.60684193,127.0505044,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로18가길 30,서울특별시 성북구 상월곡동 24-384,생활방범,4,200,360,30,2017-12,02-2241-4562,37.60485342,127.0495008,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로18가길 51,서울특별시 성북구 상월곡동 24-51,생활방범,4,200,360,30,2017-12,02-2241-4562,37.60419768,127.0501487,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로18아길 6,서울특별시 성북구 상월곡동 24-31,생활방범,3,200,360,30,2017-12,02-2241-4562,37.60542066,127.0504043,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로18아길 18,서울특별시 성북구 상월곡동 24-45,생활방범,3,200,360,30,2017-12,02-2241-4562,37.60503781,127.0502512,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로21길 55-6,서울특별시 성북구 상월곡동 7-117,생활방범,4,200,360,30,2018-12,02-2241-4562,37.6092861,127.0515985,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로2길 33,서울특별시 성북구 상월곡동 29-60,생활방범,2,200,360,30,2018-12,02-2241-4562,37.608121,127.048902,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로21길 23,서울특별시 성북구 상월곡동 23-93,생활방범,4,200,360,30,2018-12,02-2241-4562,37.607819,127.050572,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로23길 7,서울특별시 성북구 상월곡동 23-105,생활방범,5,200,360,30,2019-08,02-2241-4562,37.608425,127.051219,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로18길 13,서울특별시 성북구 상월곡동 97-26,생활방범,1,200,360,30,2009-12,02-2241-4562,37.60612281,127.04867942,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로18길 13,서울특별시 성북구 상월곡동 97-26,생활방범,1,200,360,30,2009-12,02-2241-4562,37.60612281,127.04867942,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로13가길 100,서울특별시 성북구 상월곡동 산1-47,생활방범,1,200,360,30,2014-12,02-2241-4562,37.61064529,127.04041461,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로3길 47,서울특별시 성북구 상월곡동 산1-1,생활방범,3,200,360,30,2007-12,02-2241-3644,37.60920187,127.04547405,2020-03-31,서울성북경찰서
서울특별시 성북구청,,서울특별시 성북구 상월곡동 산 8-10,생활방범,3,200,360,30,2019-12,02-2241-4562,37.60401327,127.05046071,2020-03-31,서울성북경찰서
서울특별시 성북구청,,서울특별시 성북구 상월곡동 산 8-10,생활방범,3,200,360,30,2019-12,02-2241-4562,37.60473243,127.05114661,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로3길 47,서울특별시 성북구 상월곡동 산1-1,어린이보호,4,130,360,30,2010-12,02-2241-4562,37.61122596,127.04561054,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로 20,서울특별시 성북구 상월곡동 29-31,어린이보호,1,200,360,30,2014-12,02-2241-4562,37.60805533,127.047238,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로1길 39-3,서울특별시 성북구 상월곡동 55-89,교통단속,3,200,360,30,2014-12,02-2241-3515,37.606531,127.0459526,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로15길 18,서울특별시 성북구 상월곡동 55-106,쓰레기단속,1,200,60,14,2018-12,02-2241-4407,37.60543941,127.04527697,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로 10-11,서울특별시 성북구 상월곡동 36-1,쓰레기단속,1,200,60,14,2018-12,02-2241-4407,37.60713936,127.04811835,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로18가길 5,서울특별시 성북구 상월곡동 24-245,쓰레기단속,1,200,60,14,2018-12,02-2241-4407,37.60598567,127.04913686,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로1다길 12,서울특별시 성북구 상월곡동 71-12,쓰레기단속,1,200,60,14,2018-12,02-2241-4407,37.60579304,127.04412657,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 장월로 10-11,서울특별시 성북구 상월곡동 36-1,쓰레기단속,1,200,60,14,2018-12,02-2241-4407,37.60713936,127.04811835,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 한천로58길 273,서울특별시 성북구 석관동 27-3,생활방범,3,130,360,30,2011-12,02-2241-4562,37.60856848,127.0702655,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로32길 121,서울특별시 성북구 석관동 261-15,생활방범,3,130,360,30,2011-12,02-2241-4562,37.60545929,127.0593765,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 돌곶이로8가길 15,서울특별시 성북구 석관동 320-7,생활방범,3,130,360,30,2011-12,02-2241-4562,37.60765079,127.06148634,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로22다길 9,서울특별시 성북구 석관동 338-160,생활방범,3,130,360,30,2011-12,02-2241-4562,37.60630314,127.0515459,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로24길 57,서울특별시 성북구 석관동 340-239,생활방범,3,130,360,30,2011-12,02-2241-4562,37.60616499,127.0532304,2020-03-31,서울성북경찰서
서울특별시 성북구청,,서울특별시 성북구 석관동 27-2,생활방범,3,200,360,30,2007-12,02-2241-4562,37.60737084,127.0676751,2020-03-31,서울성북경찰서
서울특별시 성북구청,,서울특별시 성북구 석관동 27-2,생활방범,3,200,360,30,2007-12,02-2241-4562,37.60748515,127.070354,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 한천로71길 9-2,서울특별시 성북구 석관동 67-5,생활방범,3,200,360,30,2010-12,02-2241-4562,37.60929244,127.0632974,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 한천로80길 45,서울특별시 성북구 석관동 130-15,생활방범,3,200,360,30,2006-12,02-2241-4562,37.61260158,127.064258,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 한천로81길 25,서울특별시 성북구 석관동 192-1,생활방범,3,200,360,30,2010-12,02-2241-4562,37.61149098,127.06027124,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 돌곶이로14길 51,서울특별시 성북구 석관동 280-25,생활방범,1,200,360,30,2007-12,02-2241-4562,37.60890637,127.0625933,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 한천로71길 20-18,서울특별시 성북구 석관동 283-3,생활방범,1,200,360,30,2009-12,02-2241-4562,37.60972413,127.0619933,2020-03-31,서울성북경찰서
서울특별시 성북구청,,서울특별시 성북구 석관동 384-1,생활방범,3,200,360,30,2010-12,02-2241-4562,37.61323067,127.06263826,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 돌곶이로23가길 55,서울특별시 성북구 석관동 332-101,생활방범,3,200,360,30,2010-12,02-2241-4562,37.6079433,127.0587658,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 돌곶이로3길 15-2,서울특별시 성북구 석관동 332-118,생활방범,3,200,360,30,2010-12,02-2241-4562,37.60493363,127.0610125,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 돌곶이로9길 20,서울특별시 성북구 석관동 332-209,생활방범,3,200,360,30,2006-12,02-2241-4562,37.6065263,127.059882,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로22길 21,서울특별시 성북구 석관동 338-519,생활방범,3,200,360,30,2010-12,02-2241-4562,37.60673226,127.05148402,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 한천로68길 12,서울특별시 성북구 석관동 85-30,생활방범,1,130,360,30,2013-12,02-2241-4562,37.60817896,127.0660889,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로40길 36-13,서울특별시 성북구 석관동 130-7,생활방범,3,130,360,30,2012-12,02-2241-4562,37.61263113,127.0637654,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 화랑로24길 28,서울특별시 성북구 석관동 340-384,생활방범,3,130,360,30,2012-12,02-2241-4562,37.60729346,127.053285,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 돌곶이로18길 27-12,서울특별시 성북구 석관동 277-1,생활방범,4,200,360,30,2013-12,02-2241-4562,37.60991394,127.0608354,2020-03-31,서울성북경찰서
서울특별시 성북구청,서울특별시 성북구 돌곶이로22가길 17,서울특별시 성북구 석관동 274-17,생활방범,3,200,360,30,2013-12,02-2241-4562,37.60947018,127.0599389,2020-03-31,서울성북경찰서
