management,S_address,L_address,purpose,camera_num,camera_pixel,shoot_info,storage_days,installed_date,phone,latitude,longitude,data_date,station
서울특별시 강남구청,"서울특별시 강남구 선릉로 7 (개포동,주공아파트)",서울특별시 강남구 개포동 141-1 (구룡마을입구 교차로 지하보도),생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.479209999999995,127.06483,2020-02-27,서울수서경찰서
서울특별시 강남구청,"서울특별시 강남구 언주로 110 (개포동,경남아파트)",서울특별시 강남구 개포동 649 (경남1차A 2동 옆 정문),생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.48338,127.05275,2020-02-27,서울수서경찰서
서울특별시 강남구청,서울특별시 강남구 선릉로 103 (개포동),서울특별시 강남구 개포동 650 (구룡중 담장),생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.48542,127.05613999999998,2020-02-27,서울수서경찰서
서울특별시 강남구청,"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-1 (개포주공1단지 13동 옆),생활방범,3,200,360전방면,30,2020-12,02-3423-6772,37.48227,127.05928999999999,2020-02-27,서울수서경찰서
서울특별시 강남구청,"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (개포주공1단지 55동 옆),생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.477759999999996,127.05781999999999,2020-02-27,서울수서경찰서
서울특별시 강남구청,"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (개포중 후문),생활방범,1,200,360전방면,30,2020-09,02-3423-6772,37.4806,127.06097,2020-02-27,서울수서경찰서
서울특별시 강남구청,"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-2 (개포주공1단지 91동 옆),생활방범,1,200,360전방면,30,2020-09,02-3423-6772,37.48216,127.05545,2020-02-27,서울수서경찰서
서울특별시 강남구청,"서울특별시 강남구 선릉로 7 (개포동,주공아파트)",서울특별시 강남구 개포동 141 (개포주공1단지 104동 뒤쪽 샛길),생활방범,4,200,360전방면,30,2020-12,02-3423-6772,37.47665,127.05836000000001,2020-02-27,서울수서경찰서
서울특별시 강남구청,"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-1 (개포주공1단지 입구),생활방범,4,200,360전방면,30,2020-11,02-3423-6772,37.48344,127.05718,2020-02-27,서울수서경찰서
서울특별시 강남구청,"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (주공1단지입구 18동옆),생활방범,4,200,360전방면,30,2020-01,02-3423-6772,37.48218,127.06088000000001,2020-02-27,서울수서경찰서
서울특별시 강남구청,"서울특별시 강남구 개포로 303 (개포동,현대1차아파트)",서울특별시 강남구 개포동 653 (구룡초교 사거리),생활방범,3,200,360전방면,30,2020-01,02-3423-6772,37.48131,127.05391999999999,2020-02-27,서울수서경찰서
