management,S_address,L_address,purpose,camera_num,camera_pixel,shoot_info,storage_days,installed_date,phone,latitude,longitude,data_date,station
서울특별시 은평구청,서오릉로20길 15-1,갈현2동 327-21 (갈현동 327-113뒤),기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.616764,126.908974,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로20길 15-1,갈현2동 327-21 (갈현동 327-113뒤),기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.616993,126.909007,2020-01-01,서울은평경찰서
서울특별시 은평구청,연서로 227 건너편 물빛공원 모퉁이,갈현1동 389-5 (갈현동 389-16),다목적,1,200,360도 전방면,30,2019-05,02-351-6383,37.618642,126.92033400000001,2020-01-01,서울은평경찰서
서울특별시 은평구청,통일로 855-14,갈현1동 396-16 (기존 갈현동 396-17 추가),생활방범,4,200,360도 전방면,30,2018-12,02-351-6383,37.619448999999996,126.919876,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로 226,갈현동 333-9,생활방범,4,200,360도 전방면,30,2019-09,02-351-6383,37.615193,126.90939399999999,2020-01-01,서울은평경찰서
서울특별시 은평구청,갈현로29길 51-49,갈현동 267-63,생활방범,4,200,360도 전방면,30,2019-12,02-351-6383,37.610506,126.92883,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로24길 19,갈현동 227-27,생활방범,5,200,360도 전방면,30,2019-12,02-351-6383,37.613621,126.930575,2020-01-01,서울은평경찰서
서울특별시 은평구청,갈현로31길 11,갈현동 448-18,생활방범,5,200,360도 전방면,30,2019-12,02-351-6383,37.596902,126.91668,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로17길 5,구산동 340-1 (구산동 341-4옆),기타,3,200,360도 전방면,30,2017-11,02-351-8007,37.614373,126.908569,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로17길 5,구산동 340-1 (구산동 341-4옆),기타,3,200,360도 전방면,30,2019-09,02-351-8007,37.614632,126.907974,2020-01-01,서울은평경찰서
서울특별시 은평구청,연서로15길 23-8,구산동 7-19,생활방범,1,200,360도 전방면,30,2013-12,02-351-6383,37.6107,126.91370400000001,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로17길 15,구산동 363-2,다목적,6,200,360도 전방면,30,2018-12,02-351-6383,37.613576,126.908271,2020-01-01,서울은평경찰서
서울특별시 은평구청,갈현로17나길 13,구산동 15-34,다목적,5,200,360도 전방면,30,2008-12,02-351-6383,37.610486,126.910371,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로13길 3,구산동 198-7,다목적,5,200,360도 전방면,30,2008-12,02-351-6383,37.61224,126.913752,2020-01-01,서울은평경찰서
서울특별시 은평구청,연서로11길 19,구산동 23-33,다목적,5,200,360도 전방면,30,2008-12,02-351-6383,37.608562,126.913225,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로21길 26,구산동 384,생활방범,1,200,360도 전방면,30,2013-12,02-351-6383,37.612788,126.906516,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로21길 26,구산동 355-15,생활방범,5,200,360도 전방면,30,2009-12,02-351-6383,37.613973,126.906575,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로17길 15-19,구산동 147-7,어린이보호,4,200,360도 전방면,30,2009-12,02-351-6383,37.613054999999996,126.90896599999999,2020-01-01,서울은평경찰서
서울특별시 은평구청,갈현로15길 42,구산동 167-11,어린이보호,4,200,360도 전방면,30,2019-11,02-351-6383,37.609116,126.90701499999999,2020-01-01,서울은평경찰서
서울특별시 은평구청,갈현로15길 42,구산동 167-11,교통단속,1,200,360도 전방면,30,2020-01,02-351-7804,37.609116,126.90701499999999,2020-01-01,서울은평경찰서
서울특별시 은평구청,갈현로11가길 10,구산동 177-78,생활방범,5,200,360도 전방면,30,2009-12,02-351-6383,37.605979,126.90843899999999,2020-01-01,서울은평경찰서
서울특별시 은평구청,갈현로15길 12-11,구산동 188-27,생활방범,5,200,360도 전방면,30,2009-12,02-351-6383,37.608455,126.909375,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로15길 7,구산동 209-1,어린이보호,5,200,360도 전방면,30,2019-11,02-351-6383,37.613676,126.90988200000001,2020-01-01,서울은평경찰서
서울특별시 은평구청,갈현로17가길 12,구산동 211-4,어린이보호,4,200,360도 전방면,30,2018-05,02-351-6383,37.612691999999996,126.910825,2020-01-01,서울은평경찰서
서울특별시 은평구청,연서로9길 6,구산동 21-56,어린이보호,5,200,360도 전방면,30,2018-05,02-351-6383,37.607494,126.91444299999999,2020-01-01,서울은평경찰서
서울특별시 은평구청,연서로15길 46,구산동 216-25,생활방범,5,200,360도 전방면,30,2019-11,02-351-6383,37.612066999999996,126.912048,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로11길 15,구산동 3-38,어린이보호,5,200,360도 전방면,30,2009-12,02-351-6383,37.611056,126.91466000000001,2020-01-01,서울은평경찰서
서울특별시 은평구청,연서로13길 32,구산동 9-41,어린이보호,6,200,360도 전방면,30,2016-08,02-351-6383,37.61036,126.912628,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로15길 16,구산동 152-3,어린이보호,4,200,360도 전방면,30,2019-11,02-351-6383,37.611768,126.909843,2020-01-01,서울은평경찰서
서울특별시 은평구청,갈현로15길 28,구산동 178-21,어린이보호,5,200,360도 전방면,30,2011-12,02-351-6383,37.607924,126.907793,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로27길 16,구산동 308-58,생활방범,4,200,360도 전방면,30,2019-12,02-351-6383,37.617979999999996,126.90444699999999,2020-01-01,서울은평경찰서
서울특별시 은평구청,서오릉로25가길 1,구산동 309-17,생활방범,4,200,360도 전방면,30,2010-12,02-351-6383,37.617207,126.90578799999999,2020-01-01,서울은평경찰서
서울특별시 은평구청,갈현로16길 13,구산동 24-54,생활방범,4,200,360도 전방면,30,2010-12,02-351-6383,37.608167,126.912334,2020-01-01,서울은평경찰서
서울특별시 은평구청,없음,구산동 산37-3 산책로,다목적,2,200,180도,30,2014-12,02-351-6383,37.611667,126.906851,2020-01-01,서울은평경찰서
서울특별시 은평구청,없음,구산동 산37-3 삼거리,다목적,2,200,180도,30,2014-12,02-351-6383,37.611208000000005,126.90598100000001,2020-01-01,서울은평경찰서
서울특별시 은평구청,없음,구산동 산37-3 등산로,생활방범,4,200,360도 전방면,30,2014-12,02-351-6383,37.611312,126.90562800000001,2020-01-01,서울은평경찰서
서울특별시 은평구청,연서로 129,구산동 1-15,다목적,1,200,360도 전방면,30,2015-08,02-351-7804,37.610084,126.916537,2020-01-01,서울은평경찰서
