∞¸∏Æ±‚∞¸∏Ì,º“¿Á¡ˆµµ∑Œ∏Ì¡÷º“,º“¿Á¡ˆ¡ˆπ¯¡÷º“,º≥ƒ°∏Ò¿˚±∏∫–,ƒ´∏ﬁ∂Û¥Îºˆ,ƒ´∏ﬁ∂Û»≠º“ºˆ,√‘øµπÊ∏È¡§∫∏,∫∏∞¸¿œºˆ,º≥ƒ°≥‚ø˘,∞¸∏Æ±‚∞¸¿¸»≠π¯»£,¿ßµµ,∞Êµµ,µ•¿Ã≈Õ±‚¡ÿ¿œ¿⁄
º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏√ª,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ∫¿»≠ªÍ∑Œ27±Ê 42,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ¡ﬂ»≠1µø 21-9,ª˝»∞πÊπ¸,4,200,0,30,Jan-08,02-2094-0284,37.6035194,127.0829697,2020/05/06
º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏√ª,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ∫¿»≠ªÍ∑Œ30±Ê 19,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ¡ﬂ»≠1µø 126,ª˝»∞πÊπ¸,1,200,0,30,Jan-08,02-2094-0284,37.60107825,127.0853121,2020/05/06
º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏√ª,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ªÛ∫¿¡ﬂæ”∑Œ9±Ê 20,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ¡ﬂ»≠1µø 9-3,ª˝»∞πÊπ¸,2,200,0,30,Aug-08,02-2094-0284,37.60183162,127.0861195,2020/05/06
º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏√ª,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ µø¿œ∑Œ140±Ê 16,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ¡ﬂ»≠1µø 281-1,ª˝»∞πÊπ¸,4,200,0,30,Mar-09,02-2094-0284,37.604227,127.0803417,2020/05/06
º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏√ª,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ∫¿»≠ªÍ∑Œ26±Ê 28,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ¡ﬂ»≠1µø 148-48,ª˝»∞πÊπ¸,4,200,0,30,Sep-09,02-2094-0284,37.60065842,127.0837479,2020/05/06
º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏√ª,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ µø¿œ∑Œ126±Ê 18,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ¡ﬂ»≠1µø 295-41,ª˝»∞πÊπ¸,1,200,0,30,Sep-09,02-2094-0284,37.59883499,127.0812988,2020/05/06
º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏√ª,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ∫¿»≠ªÍ∑Œ24±Ê 9-8,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ¡ﬂ»≠1µø 148,ª˝»∞πÊπ¸,3,200,0,30,Mar-10,02-2094-0284,37.6007576,127.0824661,2020/05/06
º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏√ª,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ µø¿œ∑Œ138±Ê 10,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ¡ﬂ»≠1µø 285-9,ª˝»∞πÊπ¸,4,200,0,30,Mar-10,02-2094-0284,37.60316849,127.0798798,2020/05/06
º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏√ª,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ∫¿»≠ªÍ∑Œ21±Ê 15,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ¡ﬂ»≠1µø 86-9,ª˝»∞πÊπ¸,1,200,0,30,Mar-10,02-2094-0284,37.60238266,127.0819168,2020/05/06
º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏√ª,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ∫¿»≠ªÍ∑Œ26±Ê 62,º≠øÔ∆Ø∫∞Ω√ ¡ﬂ∂˚±∏ ¡ﬂ»≠1µø 178-97,ª˝»∞πÊπ¸,4,200,0,30,Mar-10,02-2094-0284,37.59902573,127.0837021,2020/05/06
