management,S_address,L_address,purpose,camera_num,camera_pixel,shoot_info,storage_days,installed_date,phone,latitude,longitude,data_date,station
서울특별시 중구청,서울특별시 중구 퇴계로 303-9 옆,서울특별시 중구 광희동 1가 238,생활방범,2,200,회전형,30,2018-02,02-3396-4744,37.564287,127.005003,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로68길 (광희문1),서울특별시 중구 광희동2가 105,시설물관리,1,200,회전형,30,2013-01,02-3396-4744,37.564182,127.009885,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로68길 (광희문2),서울특별시 중구 광희동2가 105,시설물관리,1,200,회전형,30,2013-01,02-3396-4744,37.564218,127.010137,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로68길 (광희문 실내),서울특별시 중구 광희동2가 105,시설물관리,1,130,고정형,30,2009-06,02-3396-4744,37.564341,127.009974,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로68길 (광희문 성벽1),서울특별시 중구 광희동2가 105,시설물관리,1,200,회전형,30,2013-01,02-3396-4744,37.564421,127.009847,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로68길 (광희문 성벽2),서울특별시 중구 광희동2가 105,시설물관리,1,200,회전형,30,2013-01,02-3396-4744,37.563271,127.010266,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로68길 (광희문 성벽3),서울특별시 중구 광희동2가 105,시설물관리,1,200,회전형,30,2013-01,02-3396-4744,37.563849,127.009909,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로68길 (광희문 성벽4),서울특별시 중구 광희동2가 105,시설물관리,1,200,회전형,30,2013-01,02-3396-4744,37.563851,127.010169,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로68길 (광희문 성벽5),서울특별시 중구 광희동2가 105,시설물관리,1,200,회전형,30,2013-01,02-3396-4744,37.563264,127.009807,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로68길 (광희문 뒷편1),서울특별시 중구 광희동2가 105,시설물관리,1,41,고정형,30,2009-06,02-3396-4744,37.563007,127.010196,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로68길 (광희문 뒷편2),서울특별시 중구 광희동2가 105,시설물관리,1,41,고정형,30,2009-06,02-3396-4744,37.562991,127.009965,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 장충단로8가길 26 (광희동2가),서울특별시 중구 광희동2가 303-24,쓰레기단속,1,200,고정형,30,2017-09,02-3396-4744,37.56329938,127.0077645,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로 325-12 (광희동2가),서울특별시 중구 을지로7가 128,생활방범,3,200,회전형,30,2016-12,02-3396-4744,37.56486348,127.0081223,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 동호로34길 27 (광희동1가),서울특별시 중구 광희동1가 11번지,생활방범,4,200,회전형,30,2017-09,02-3396-4744,37.56510516,127.0040114,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 을지로40길 21-38 (광희동1가),서울특별시 중구 광희동1가 112-3,생활방범,4,200,회전형,30,2014-11,02-3396-4744,37.56539342,127.0055236,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 을지로 264 (광희동1가),서울특별시 중구 광희동1가 182-1,생활방범,3,200,회전형,30,2014-11,02-3396-4744,37.56574292,127.007063,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 마른내로 162 (광희동1가),서울특별시 중구 광희동1가 207-2,생활방범,4,200,회전형,30,2018-10,02-3396-4744,37.5645753,127.00591740000002,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 장충단로10길 38 (광희동2가),서울특별시 중구 광희동2가 213-1,생활방범,3,200,회전형,30,2017-09,02-3396-4744,37.56338533,127.0090639,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 장충단로10길 11 (광희동2가),서울특별시 중구 광희동2가 303-42,생활방범,3,200,회전형,30,2016-05,02-3396-4744,37.56343634,127.0075608,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로336-7,서울특별시 중구 광희동2가188,생활방범,4,200,회전형,30,2015-12,02-3396-4744,37.56402369,127.0090323,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 을지로40길 24,서울특별시 중구 광희동1가 49,생활방범,3,200,회전형,30,2018-10,02-3396-4744,37.56570341,127.004265,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로62길 3-9,서울특별시 중구 광희동2가 271-2,생활방범,3,200,회전형,30,2016-12,02-3396-4744,37.56393366,127.008012,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 마른내로 159-17,서울특별시 중구 광희동1가 118,생활방범,3,200,고정형,30,2020-03,02-3396-4744,37.56501499,127.0058088,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 장충단로8나길 11-26,서울특별시 중구 광희동2가 217-5,생활방범,2,200,고정형,30,2018-10,02-3396-4744,37.56319119,127.0087585,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 마른내로 133 (쌍림동),서울특별시 중구 광희동1가 281-2,교통단속,2,200,회전형,30,2015-12,02-3396-4744,37.56476642,127.0029383,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로 307 (광희동1가),서울특별시 중구 광희동1가 216,교통단속,2,200,회전형,30,2015-12,02-3396-4744,37.56430501,127.0057272,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로50길 53 (묵정동),서울특별시 중구 묵정동 22-22,쓰레기단속,1,200,고정형,30,2017-09,02-3396-4744,37.56033715,127.00113629999998,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로50길 33-14 (묵정동),서울특별시 중구 묵정동 25-1,생활방범,1,200,회전형,30,2015-12,02-3396-4744,37.56099667,127.0017566,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로50길 43-5 (묵정동),서울특별시 중구 묵정동 25-16,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.56078404,127.0012495,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 퇴계로46길 15-5 (묵정동),서울특별시 중구 묵정동 30-10,생활방범,4,200,회전형,30,2018-10,02-3396-4744,37.56172469,127.0001947,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 동호로27길 21,서울특별시 중구 묵정동 21-4,어린이보호,2,200,회전형,30,2019-12,02-3396-4744,37.56026506,127.00173390000002,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 서애로1길 34,서울특별시 중구 묵정동 11-67,생활방범,3,200,회전형,30,2017-09,02-3396-4744,37.56070837,127.0000589,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 동호로 385-1(성제묘),서울특별시 중구 방산동 4-96,시설물관리,1,200,회전형,30,2013-02,02-3396-4744,37.568815,127.001822,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 동호로 385-1(성제묘),서울특별시 중구 방산동 4-96,시설물관리,1,130,고정형,30,2013-02,02-3396-4744,37.56884615,127.00180659999998,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 동호로 372 (방산동),서울특별시 중구 방산동 130-3,교통단속,2,200,회전형,30,2019-07,02-3396-4744,37.56760637,127.0025129,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 창경궁로5길 28 (산림동),서울특별시 중구 산림동 51,생활방범,2,200,회전형,30,2017-09,02-3396-4744,37.56709458,126.9965318,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 창경궁로5가길 39 (산림동),서울특별시 중구 산림동 82-3,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.56826587,126.9964734,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 을지로19길 9 (산림동),서울특별시 중구 산림동 278,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.56699002,126.9951537,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 창경궁로 5길 6,서울특별시 중구 산림동 16,생활방범,3,200,회전형,30,2016-12,02-3396-4744,37.56737211,126.9976592,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 을지로17길 12,서울특별시 중구 산림동 289,생활방범,3,200,회전형,30,2018-10,02-3396-4744,37.56706207,126.9946438,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 창경궁로5나길 3,서울특별시 중구 산림동 47-1,생활방범,3,200,회전형,30,2019-12,02-3396-4744,37.56729281,126.996856,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 을지로11길 23 (수표동),서울특별시 중구 수표동 27-2,생활방범,3,200,회전형,30,2017-09,02-3396-4744,37.56746907,126.9905553,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 청계천로 108 (수표동),서울특별시 중구 수표동 47-1,생활방범,1,200,회전형,30,2015-12,02-3396-4744,37.5678618,126.9894996,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 청계천로 106 (수표동),서울특별시 중구 수표동 62-4,교통단속,2,200,회전형,30,2019-04,02-3396-4744,37.56784738,126.989292,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 수표로 74 (수표동),서울특별시 중구 수표동 11-8,교통단속,2,200,회전형,30,2019-07,02-3396-4744,37.56766722,126.9897675,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 을지로9길 34,서울특별시 중구 수표동 56-17,교통단속,2,200,회전형,30,2019-07,02-3396-4744,37.56709413,126.9891518,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 다산로33가길 17 앞,서울특별시 중구 신당동 241-26,생활방범,2,200,회전형,30,2016-12,02-3396-4744,37.5631438,127.014276,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 청구로1길 23,서울특별시 중구 신당동 843,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.55853733,127.018448,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 신당동294-40,서울특별시 중구 신당동294-40,생활방범,3,200,회전형,30,2015-12,02-3396-4744,37.559914,127.013956,2020-06-25,서울중부경찰서
서울특별시 중구청,서울특별시 중구 신당동296-15,서울특별시 중구 신당동296-15,생활방범,2,130,회전형,30,2012-07,02-3396-4744,37.560564,127.013461,2020-06-25,서울중부경찰서
서울특별시 중구청,,서울특별시 중구 신당동 837-4,생활방범,1,200,고정형,30,2018-09,02-3396-4744,37.559501,127.020601,2020-06-25,서울중부경찰서
