name,phone
서울강남경찰서,02) 3673-9112
서울강동경찰서,02) 3449-7495
서울강북경찰서,02) 944-4235
서울강서경찰서,02) 2602-0112
서울관악경찰서,02) 870-0112
서울광진경찰서,02) 2285-7230
서울구로경찰서,02) 864-0112
서울금천경찰서,02) 801-5346
서울남대문경찰서,02) 2096-8346
서울노원경찰서,02) 2092-0230
서울도봉경찰서,02) 2289-9329
서울동대문경찰서,02) 957-6112
서울동작경찰서,02) 813-0112
서울마포경찰서,02) 393-0063
서울방배경찰서,02) 3403-8328
서울서대문경찰서,02) 335-8329
서울서부경찰서,02) 335-9329
서울서초경찰서,02) 3483-9228
서울성동경찰서,02) 2286-0230
서울성북경찰서,02) 920-1114
서울송파경찰서,02) 3402-6225
서울수서경찰서,02) 2155-9065
서울양천경찰서,02) 2648-0112
서울영등포경찰서,02) 2118-9233
서울용산경찰서,02) 2198-0329
서울은평경찰서,02) 350-1329
서울종로경찰서,02) 3701-4329
서울종암경찰서,02) 3396-7230
서울중랑경찰서,02) 2171-0228
서울중부경찰서,02) 3396-9230
서울혜화경찰서,02) 762-0112
