관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 영등포구,"도영로 18,근처 횡단보도앞 인도",도림동 226-2 쌍용APT 4R,생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.50807306,126.8952841,2020-05-06
서울특별시 영등포구,가마산로61길 20-8,가마산로61길 20-8 (신길3동),생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.50690576,126.9047749,2020-05-06
서울특별시 영등포구,신길로56길 7,신길동 190-160,생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.51234222,126.9110615,2020-05-06
서울특별시 영등포구,도신로54길 12-13,신길동 199-19,생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.50996676,126.9146549,2020-05-06
서울특별시 영등포구,영등포로5길 31,양평동2가 33-38,생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.52451593,126.8846719,2020-05-06
서울특별시 영등포구,"시흥대로 589-8,LG신대림자이APT 202동 주차장출입구앞 부근",대림2동 995-1 BYC앞 (자이 202동 앞),생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.48559946,126.9021701,2020-05-06
서울특별시 영등포구,디지털로69나길 10-1,디지털로69나길 12 스타빌 앞(대림1동),생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.4935919,126.9028903,2020-05-06
서울특별시 영등포구,"도영로 2-5, 대림코오롱APT 104동 부근 APT출입구앞",대림3동 607-1 상가옆,생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.50694945,126.8942345,2020-05-06
서울특별시 영등포구,"영중로18길 12,영상빌딩앞",영중로18길 12 (영등포동5가),생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.5210471,126.9062957,2020-05-06
서울특별시 영등포구,"국회대로56길 19,한강성심병원 장례식장 사이골목",영등포동7가 29-51 한강성심병원 장례식장 사이골목,생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.52348786,126.9097991,2020-05-06
서울특별시 영등포구,대림로8가길 9,대림로8가길 9 (대림동 988-10),생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.4899075,126.9058193,2020-05-06
서울특별시 영등포구,"양산로17길 17,사거리앞",당산동3가 555-1,생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.52613678,126.8937468,2020-05-06
서울특별시 영등포구,도림로57길 10-2,도림로57길 10-2,생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.49747218,126.9021534,2020-05-06
서울특별시 영등포구,"영등포로79길 7,혜영빌라앞",신길1동 65-102 혜영빌라 앞,생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.5144735,126.9212845,2020-05-06
서울특별시 영등포구,영등포로 399-5,영등포로 399-5 앞,생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.51382808,126.9223366,2020-05-06
서울특별시 영등포구,"당산로27길 12, 당산근린공원1",당산1동 3가 385,생활방범,1,,360도 전방면,30,Jan-11,02-2670-4067,37.52562369,126.895178,2020-05-06
서울특별시 영등포구,"당산로27길 12, 당산근린공원2",당산1동 3가 385,생활방범,1,,360도 전방면,30,Jan-11,02-2670-4067,37.52505673,126.8956226,2020-05-06
서울특별시 영등포구,영등포로27길 20-1,당산동1가186-114,쓰레기단속,1,,360도 전방면,30,Jan-05,02-2670-4067,37.52280381,126.8994288,2020-05-06
서울특별시 영등포구,당산로12길 19-1,당산동1가256-118,쓰레기단속,1,,360도 전방면,30,Jan-05,02-2670-4067,37.52208527,126.8980569,2020-05-06
서울특별시 영등포구,"영신로43길 18,삼거리앞",당산동1가185,쓰레기단속,1,,360도 전방면,30,Jan-09,02-2670-4067,37.52231495,126.8996437,2020-05-06
서울특별시 영등포구,당산로20길 5,당산동1가 310-3,쓰레기단속,1,,360도 전방면,30,Dec-15,02-2670-4067,37.52351991,126.8966999,2020-05-06
서울특별시 영등포구,"영등포로27길 16,사거리앞",당산동 1가 185-39 사거리,생활방범,5,,360도 전방면,30,Sep-11,02-2670-4067,37.52234812,126.8992654,2020-05-06
서울특별시 영등포구,"영등포로25길 23-19,삼거리 큰성당어린이집앞",당산동 1가 337-1 큰성당어린이집 앞,생활방범,3,,360도 전방면,30,Nov-10,02-2670-4067,37.52321617,126.8972231,2020-05-06
서울특별시 영등포구,"영등포로 112,대우미래사랑3차APT 101동앞",당산동 1가 337-1 큰성당어린이집 앞,생활방범,3,,360도 전방면,30,Nov-10,02-2670-4067,37.52043692,126.8938282,2020-05-06
서울특별시 영등포구,"영등포로19길 15,삼거리앞",당산동 2가 159-26 앞 삼거리,생활방범,3,,360도 전방면,30,Nov-10,02-2670-4067,37.52334532,126.8930621,2020-05-06
서울특별시 영등포구,"국회대로28길 13,삼익APT 2동앞 사거리",당산동 3가 559 쌍용예가 후문,생활방범,3,,360도 전방면,30,Nov-10,02-2670-4067,37.52783656,126.8945733,2020-05-06
서울특별시 영등포구,당산로16길 4,당산동 1가 254-52(당산로16길4 ),생활방범,1,,360도 전방면,30,Jan-13,02-2670-4067,37.52251787,126.8963909,2020-05-06
서울특별시 영등포구,"영신로39길 16,삼거리앞",당산동1가 136,생활방범,1,,360도 전방면,30,Jul-13,02-2670-4067,37.52175491,126.899543,2020-05-06
서울특별시 영등포구,국회대로34길 5-3,당산동 3가 152번지 앞(국회대로36길 4-2),생활방범,3,,360도 전방면,30,Jan-13,02-2670-4067,37.52696667,126.8978049,2020-05-06
서울특별시 영등포구,영신로45길 9-2,당산동1가 186-95,생활방범,3,,360도 전방면,30,Jan-10,02-2670-4067,37.52281376,126.9005061,2020-05-06
서울특별시 영등포구,"영등포로 154,진로APT 101동~서영물류센터 사잇길",당산동 1가 진로아파트 서영물류센터 사이,생활방범,1,,360도 전방면,30,Jan-10,02-2670-4067,37.52026621,126.8970188,2020-05-06
서울특별시 영등포구,"영등포로30길 9,신동아패밀리에상가 근처",당산동 1가 3-3 신동아패밀리에상가 옆,생활방범,2,,360도 전방면,30,Jan-10,02-2670-4067,37.51996238,126.8997927,2020-05-06
서울특별시 영등포구,"영등포로 96,교보생명빌딩~대우APT 101동 사이 도로앞",당산동 2가 25 교보생명 대우메종리브르 사이코너,생활방범,4,,360도 전방면,30,Jan-10,02-2670-4067,37.52072041,126.8924333,2020-05-06
서울특별시 영등포구,"당산로30길 3,삼거리앞",당산동 3가 270 우미빌딩옆,생활방범,3,,360도 전방면,30,Jan-10,02-2670-4067,37.52560859,126.897175,2020-05-06
서울특별시 영등포구,국회대로 580-3,당산동 3가 112 덕윤자동차공업사,생활방범,2,,360도 전방면,30,Jan-10,02-2670-4067,37.52708521,126.8985066,2020-05-06
서울특별시 영등포구,"양산로25길 3-1,삼거리앞",당산동 3가 5-1 장수흑염소건강원앞,생활방범,4,,360도 전방면,30,Jan-10,02-2670-4067,37.52415062,126.8985079,2020-05-06
서울특별시 영등포구,당산로20길 17-1,당산동1가 305,생활방범,4,,360도 전방면,30,Jan-14,02-2670-4067,37.5232846,126.8982689,2020-05-06
서울특별시 영등포구,당산로10길 8,당산동1가 33,생활방범,5,,360도 전방면,30,Jan-14,02-2670-4067,37.52179128,126.8966786,2020-05-06
서울특별시 영등포구,"영신로 183,동부센트레빌 정문",당산동3가 562 동부센트레빌 정문,생활방범,2,,360도 전방면,30,Sep-15,02-2670-4067,37.52482343,126.9023875,2020-05-06
서울특별시 영등포구,당산로12길 11-1,당산동1가 256-18,생활방범,3,,360도 전방면,30,Sep-16,02-2670-4067,37.52205814,126.8971991,2020-05-06
서울특별시 영등포구,당산로10길 28-1,당산동1가 55,생활방범,4,,360도 전방면,30,Sep-16,02-2670-4067,37.52142103,126.8990382,2020-05-06
서울특별시 영등포구,영신로47길 11,당산동1가 226,생활방범,2,,360도 전방면,30,Feb-17,02-2670-4067,37.52310676,126.9004372,2020-05-06
서울특별시 영등포구,양산로19길 13-12,당산동3가 434-1,생활방범,1,,360도 전방면,30,Mar-17,02-2670-4067,37.52557921,126.8946431,2020-05-06
서울특별시 영등포구,"영신로33길 3,신동아파밀리에APT 103동~104동 정문근처",당산동1가 457,생활방범,3,,360도 전방면,30,Aug-17,02-2670-4067,37.51930867,126.9005708,2020-05-06
서울특별시 영등포구,당산로16길20 수풀림 앞 사거리,당산동1가 255-1,생활방범,4,,360도 전방면,30,Aug-18,02-2670-4067,37.52248643,126.8982715,2020-05-06
서울특별시 영등포구,당산로27길 5,당산동3가 382,생활방범,5,,360도 전방면,30,Nov-18,02-2670-4067,37.52514667,126.8950126,2020-05-06
서울특별시 영등포구,당산동1가 112-1,,생활방범,8,,360도 전방면,30,Sep-15,02-2670-4067,37.52170885,126.8979542,2020-05-06
서울특별시 영등포구,양산로 99-1,,생활방범,2,,360도 전방면,30,Dec-14,02-2670-4067,37.52434028,126.8941136,2020-05-06
서울특별시 영등포구,"당산로30길 11,사거리앞",당산동3가 80-6,생활방범,4,,360도 전방면,30,Apr-17,02-2670-4067,37.52551376,126.8977735,2020-05-06
서울특별시 영등포구,양산로17길 8,당산동3가 475,생활방범,2,,360도 전방면,30,Jan-13,02-2670-4067,37.52512434,126.8934982,2020-05-06
서울특별시 영등포구,"선유동1로 80,선재어린이집",당산동3가 560,생활방범,4,,360도 전방면,30,Feb-06,02-2670-4067,37.52834739,126.893558,2020-05-06
